unique_per_num_values,std_value,unique_value_size,min_value,max_value
0.010526315789473684,0.4679102002763023,3,1.0,3.0
0.007017543859649123,0.49616767055271244,2,1.0,2.0
0.010526315789473684,0.4089664058657637,3,1.0,3.0
0.02456140350877193,0.3647195419606001,7,0.0,6.0
0.042105263157894736,0.20479553674023743,16,0.0,15.0
0.06315789473684211,0.18746499001943928,24,1.0,25.0
0.0007331378299120235,0.34453294159304626,4,1.0,4.0
0.00042517006802721087,0.5000531547335791,2,6.0,7.0
0.001488095238095238,0.35479162859850666,7,0.0,6.0
0.001913265306122449,0.348136804332938,9,0.0,8.0
0.0006377551020408163,0.36795250813254043,3,1.0,3.0
0.00233843537414966,0.29856347626910484,11,1.0,11.0
0.00233843537414966,0.29856347626910484,11,1.0,11.0
0.0021258503401360546,0.24872120465154604,10,-1.0,8.0
0.00042517006802721087,0.029151290056924465,2,1.0,2.0
0.00233843537414966,0.25597682225503976,11,1.0,11.0
0.00233843537414966,0.25597682225503976,11,1.0,11.0
0.00042517006802721087,0.23976712199877329,2,1.0,2.0
0.00042517006802721087,0.42867641243905014,2,1.0,2.0
0.00042517006802721087,0.4353659810863605,2,1.0,2.0
0.00042517006802721087,0.24739052043472468,2,1.0,2.0
0.002976190476190476,0.19925411530499174,14,1.0,14.0
0.00042517006802721087,0.4999656452952273,2,1.0,2.0
0.00042517006802721087,0.2443785798096471,2,1.0,2.0
0.00042517006802721087,0.5000531547335791,2,6.0,7.0
0.001488095238095238,0.35479162859850666,7,0.0,6.0
0.001913265306122449,0.348136804332938,9,0.0,8.0
0.0006377551020408163,0.36795250813254043,3,1.0,3.0
0.00233843537414966,0.29856347626910484,11,1.0,11.0
0.00233843537414966,0.29856347626910484,11,1.0,11.0
0.00233843537414966,0.25597682225503976,11,1.0,11.0
0.00233843537414966,0.25597682225503976,11,1.0,11.0
0.001913265306122449,0.2671612975376518,9,-1.0,7.0
0.00042517006802721087,0.025248443318451875,2,1.0,2.0
0.00042517006802721087,0.23976712199877329,2,1.0,2.0
0.00042517006802721087,0.4619070511709906,2,1.0,2.0
0.00042517006802721087,0.4636476285001048,2,1.0,2.0
0.00042517006802721087,0.36171601000974574,2,1.0,2.0
0.00042517006802721087,0.141406933956516,2,1.0,2.0
0.002976190476190476,0.19925411530499174,14,1.0,14.0
0.00042517006802721087,0.4999656452952273,2,1.0,2.0
0.00042517006802721087,0.2443785798096471,2,1.0,2.0
0.00042517006802721087,0.5000531547335791,2,1.0,2.0
0.00042517006802721087,0.4974429836834652,2,1.0,2.0
0.00233843537414966,0.24668297090674393,11,0.0,10.0
0.00042517006802721087,0.497979002061552,2,1.0,2.0
0.00233843537414966,0.21234879229033693,11,0.0,10.0
0.00042517006802721087,0.49522648270661745,2,1.0,2.0
0.00042517006802721087,0.4996536326640415,2,1.0,2.0
0.00042517006802721087,0.4947696667181331,2,1.0,2.0
0.00042517006802721087,0.45893454484357776,2,1.0,2.0
0.0006377551020408163,0.4246654809265587,3,1.0,3.0
0.06191950464396285,0.3863574126456493,20,8191.0,10261.0
0.06191950464396285,0.3843412640187546,20,8191.0,10261.0
1.0,0.2900195481293177,323,3684.0,4006.0
0.021671826625386997,0.2036453589053717,7,0.0,6.0
0.021671826625386997,0.17843179870031275,7,0.0,6.0
0.1111111111111111,0.3360107525161235,7,1.0,7.0
0.047619047619047616,0.41152744587655077,3,1.0,3.0
0.047619047619047616,0.41152744587655077,3,1.0,3.0
0.047619047619047616,0.44385201170540034,3,1.0,3.0
1.0,0.4474870858010032,130,132560.0,135109.0
0.023076923076923078,0.2720590012826094,3,1.0,3.0
0.038461538461538464,0.39391995106537375,5,1.0,5.0
0.023076923076923078,0.2723602090658785,3,1.0,3.0
0.023076923076923078,0.29211461470054145,3,1.0,3.0
0.023076923076923078,0.38270994916233286,3,1.0,3.0
0.015384615384615385,0.25482815423967997,2,1.0,2.0
0.015384615384615385,0.37640612938648293,2,1.0,2.0
0.015384615384615385,0.320721458628893,2,1.0,2.0
0.023076923076923078,0.14554607964469662,3,1.0,3.0
0.002,0.4934769695938398,2,1.0,2.0
0.023809523809523808,0.5009831603797946,3,1.0,2.0
0.009852216748768473,0.21847366859655082,8,1.0,7.0
0.011135857461024499,0.1959549276557752,10,0.0,70.0
0.0077951002227171495,0.2911826832220514,7,0.0,85.0
0.005042016806722689,0.2506252261634383,3,1.0,2.0
0.008620689655172414,0.16809140308285814,5,1.0,5.0
0.008908685968819599,0.16422320358149795,8,0.0,700.0
0.00764525993883792,0.3459133681528447,5,1.0,4.0
0.1875,0.5,3,1.0,2.0
0.014218009478672985,0.4319657951803853,3,1.0,2.0
0.6666666666666666,0.4183300132670378,4,1.0,3.0
0.0022271714922048997,0.49857712941207233,2,1.0,2.0
0.026726057906458798,0.38348342362020327,24,0.0,4880.0
0.046875,0.47871355387816905,3,1.0,2.0
0.0033407572383073497,0.19497416439159385,3,1.0,3.0
0.3333333333333333,0.33333333333333337,3,1.0,2.0
0.005567928730512249,0.3525821511748381,5,1.0,5.0
2.740364194401436e-05,0.32842516153502804,2,1.0,2.0
4.110546291602154e-05,0.3301067684197485,3,1.0,3.0
0.0001370182097200718,0.19024558754218876,10,0.0,9.0
0.00021953595587327287,0.3339803392241257,16,1.0,15.0
4.1110532518431225e-05,0.18453889391976921,3,1.0,3.0
7.161887300541438e-05,0.17376341833265863,5,0.0,3.0
5.729920210861064e-05,0.26057774678102064,4,1.0,3.0
0.5473466423687708,0.13146947596041852,39947,4825.0,115717.0
6.851379867905396e-05,0.2907365567588087,5,1.0,4.0
0.0001781358765655403,0.25629058059683574,13,1.0,12.0
0.1417528952237374,0.0689209106000704,10343,0.0,35722.0
0.15596518878914548,0.07386233987791865,11380,0.0,36859.0
